2, 'BARTON', '0221', 3, -35.302345, 149.129623
3, 'DARWIN', '0800', 7, -12.466183, 130.842850
5, 'PARAP', '0804', 7, -12.432271, 130.843307
6, 'ALAWA', '0810', 7, -12.378587, 130.874268
7, 'BRINKIN', '0810', 7, -12.365270, 130.868103
8, 'CASUARINA', '0810', 7, -12.375650, 130.882217
9, 'COCONUT GROVE', '0810', 7, -12.390163, 130.852905
10, 'JINGILI', '0810', 7, -12.389178, 130.875534
11, 'LEE POINT', '0810', 7, -12.342041, 130.891296
12, 'LYONS', '0810', 7, -12.359063, 130.885910
13, 'MILLNER', '0810', 7, -12.386539, 130.862091
14, 'MOIL', '0810', 7, -12.390800, 130.881851
15, 'MUIRHEAD', '0810', 7, -12.358527, 130.892044
16, 'NAKARA', '0810', 7, -12.368495, 130.876328
17, 'NIGHTCLIFF', '0810', 7, -12.388049, 130.851044
18, 'RAPID CREEK', '0810', 7, -12.376464, 130.858521
19, 'TIWI', '0810', 7, -12.362640, 130.877106
20, 'WAGAMAN', '0810', 7, -12.380609, 130.886703
21, 'WANGURI', '0810', 7, -12.375303, 130.890656
22, 'CASUARINA', '0811', 7, -12.375384, 130.879547
23, 'ANULA', '0812', 7, -12.392477, 130.890976
24, 'BUFFALO CREEK', '0812', 7, -12.337176, 130.907944
25, 'HOLMES', '0812', 7, -12.391059, 130.924667
26, 'KARAMA', '0812', 7, -12.401581, 130.915939
27, 'LEANYER', '0812', 7, -12.377690, 130.895218
28, 'MALAK', '0812', 7, -12.394891, 130.902573
29, 'MARRARA', '0812', 7, -12.395938, 130.891861
30, 'NORTHLAKES', '0812', 7, -12.395922, 130.896088
31, 'SANDERSON', '0812', 7, -12.378665, 130.908188
32, 'WOODLEIGH GARDENS', '0812', 7, -12.378665, 130.908188
33, 'WULAGI', '0812', 7, -12.384169, 130.894043
34, 'KARAMA', '0813', 7, -12.400017, 130.913544
35, 'NIGHTCLIFF', '0814', 7, -12.388564, 130.848984
36, 'CHARLES DARWIN UNIVERSITY', '0815', 7, -25.235224, 130.983093
37, 'BAGOT', '0820', 7, -12.414598, 130.856186
38, 'BAYVIEW', '0820', 7, -12.434359, 130.857590
39, 'CHARLES DARWIN', '0820', 7, -12.434326, 130.872925
40, 'COONAWARRA', '0820', 7, -12.430590, 130.911804
41, 'CULLEN BAY', '0820', 7, -12.451110, 130.821320
43, 'DARWIN INTERNATIONAL AIRPORT', '0820', 7, -12.407667, 130.876999
45, 'EAST POINT', '0820', 7, -12.407904, 130.820953
46, 'EATON', '0820', 7, -12.400170, 130.874619
47, 'FANNIE BAY', '0820', 7, -12.423421, 130.836578
48, 'LARRAKEYAH', '0820', 7, -12.456032, 130.831863
49, 'LUDMILLA', '0820', 7, -12.427430, 130.854095
